Вар.№1	Вар.№2	Вар.№3	Вар.№4	Вар.№5	Вар.№6	Вар.№7	Вар.№8	Вар.№9	Вар.№10	Вар.№11	Вар.№12
.175	.662	6.133	.505	.566	-3.795	.675	-10.00	4.990	.064	-1.569	4.736
.609	.468	7.459	.318	.753	1.349	.386	16.967	5.919	.240	-3.235	-.127
.330	.430	1.887	.623	.731	3.216	.513	-2.405	2.818	.292	2.869	5.775
.275	.296	5.260	.204	.805	-.871	.214	2.132	3.820	.233	7.578	3.599
.441	.597	6.442	.302	.757	2.180	.671	-2.154	6.524	.352	5.000	10.965
.248	.491	2.163	.237	.307	.950	.618	.370	5.225	.747	2.432	5.077
.240	.917	1.030	.497	.791	-2.995	.627	-1.184	1.401	.366	3.053	5.504
.639	.622	-.519	.649	.933	-2.768	.648	14.316	5.310	.598	3.182	6.414
.557	.864	-3.903	.264	.619	2.934	.445	3.747	5.127	.185	5.528	7.048
.317	.513	-1.644	.447	.771	-.451	.300	1.658	7.083	.062	-1.557	4.374
.505	.437	4.187	.306	.595	1.193	.460	-3.118	5.017	.415	1.029	8.992
.146	.506	7.364	.529	.739	-3.295	.466	8.541	5.698	.558	-9.953	7.275
.229	.580	4.210	.154	.730	-3.469	.779	4.259	4.802	.198	1.632	4.795
.739	.819	-.249	.239	.534	3.527	.425	5.319	3.572	.403	4.815	9.393
.367	.778	11.411	.669	.682	.987	.322	14.013	4.283	.359	9.945	5.477
.195	.568	7.490	.289	.675	-.423	.279	1.231	5.276	.385	-3.325	2.644
.701	.206	2.237	.279	.321	-3.362	.584	3.643	5.371	.401	4.131	8.328
.577	.523	2.028	.246	.671	-.022	.457	1.504	4.224	.512	6.350	4.047
.271	.375	7.830	.351	.757	1.199	.305	-9.714	4.335	.518	7.654	5.418
.213	.522	1.415	.308	.772	.844	.802	2.613	5.921	.330	.240	2.879
.316	.777	6.498	.394	.755	2.994	.433	3.202	4.840	.358	4.050	8.381
.319	.713	3.366	.727	.627	1.393	.521	1.726	3.803	.307	-5.593	10.219
.557	.716	2.364	.243	.698	-.388	.529	-12.568	4.206	.292	-5.398	4.174
.776	.355	6.292	.149	.553	-5.018	.631	-6.621	3.266	.436	-1.354	1.258
.386	.591	6.456	.357	.826	-1.040	.594	1.344	5.009	.431	1.435	3.770
.482	.562	4.971	.351	.851	-.956	.337	7.928	2.404	.243	-2.264	6.196
.658	.713	.846	.428	.616	-1.780	.228	11.330	3.524	.461	9.444	2.606
.081	.346	5.762	.354	.823	-1.725	.768	6.159	2.916	.374	.050	10.076
.673	.633	-.417	.330	.690	3.546	.302	5.390	4.229	.227	-4.013	6.561
.158	.864	3.827	.231	.415	-1.318	.455	-13.743	2.319	.295	11.242	7.131
.395	.671	-1.346	.133	.583	3.541	.555	-5.071	5.846	.056	6.791	6.080
.384	.881	1.402	.536	.644	4.744	.723	4.073	6.397	.114	-6.796	9.667
.350	.611	1.989	.195	.774	3.029	.444	6.407	5.648	.120	.553	2.595
.299	.660	8.320	.390	.722	3.015	.708	7.835	3.753	.285	7.138	4.557
.634	.691	2.068	.206	.514	1.408	.681	6.902	4.899	.109	7.898	6.319
.291	.518	1.770	.168	.757	-.741	.478	5.719	5.861	.134	-3.257	7.217
.617	.599	8.315	.452	.803	3.131	.798	-4.725	4.604	.381	7.618	3.307
.454	.763	3.144	.608	.558	.501	.461	-3.929	5.492	.117	6.255	5.068
.213	.724	2.098	.625	.806	-1.285	.435	7.245	4.105	.405	-1.867	8.978
.319	.412	4.111	.162	.775	2.589	.398	-2.419	4.991	.071	1.032	2.361
.620	.384	-.517	.306	.739	.954	.833	1.205	5.187	.074	6.637	5.780
.345	.630	-.768	.567	.761	.958	.573	1.812	3.964	.191	4.703	6.741
.466	.684	6.538	.446	.768	1.997	.522	2.321	4.708	.376	-6.270	6.508
.605	.654	4.882	.499	.856	-.302	.369	5.550	2.567	.467	3.812	4.892
.143	.332	1.480	.410	.285	2.073	.631	11.635	4.215	.276	.441	1.154
.569	.455	.914	.215	.918	.104	.490	-3.546	4.991	.072	6.236	8.288
.565	.551	.648	.218	.517	.632	.319	.781	6.693	.575	-2.043	4.542
.580	.552	-2.587	.595	.501	.271	.381	-3.266	6.583	.347	.132	4.681
.547	.688	6.367	.586	.432	2.196	.366	-5.004	3.712	.125	3.622	8.557
.299	.573	3.641	.475	.683	1.897	.466	7.294	2.278	.308	-.504	7.296
.497	.363	1.551	.284	.916	3.183	.654	-1.291	3.092	.458	-.102	8.897
.390	.650	-2.095	.639	.674	1.990	.473	-3.012	5.657	.191	4.840	6.568
.125	.793	3.650	.584	.408	.015	.536	2.997	5.074	.676	-2.367	8.449
.434	.533	5.038	.195	.795	.255	.477	-4.510	5.546	.170	6.565	3.446
.400	.365	.930	.271	.887	-1.104	.364	3.361	5.322	.118	.401	10.448
